question,answer,category
In the first syllable of these two words (AM) which is oral and which is nasal? ampleur + ami,The first syllable (AM) of ampleur is nasal because there is no vowel directly after the vowel + N/M combo. The first syllable (AM) of ami is oral because there is a vowel directly following the vowel + N/M combo.,pronunciation
How do the phonetic symbols of oran and nasal vowels differ?,Nasal vowel symbols have a tilda over them. The oral (non-nasal) versions do not. e.g. [ɑ̃] is the nasal version of [a].,pronunciation
What are the spellings that could result in a nasal A [ɑ̃]?,an + am + en + em; A nasal vowel must be followed by M or N. And that combo must not be followed by a vowel.,pronunciation
What are the spellings that could result in a nasal I [ɛ̃]?,ain + aim + ein + eim + en + em + in + im + ym + yn; un + um are also typically pronounced with this sound because the nasal U [œ̃] has disappeared in much of France.; A nasal vowel must be followed by M or N. And that combo must not be followed by a vowel.,pronunciation
What are the spellings that could result in a nasal O [ɔ̃]?,on + om; A nasal vowel must be followed by M or N. And that combo must not be followed by a vowel.,pronunciation
What are the spellings that could result in a nasal U [œ̃]?,un + um; NB: In much of France [œ̃] has disappeared - it’s pronounced as a nasal I [ɛ̃] instead.; A nasal vowel must be followed by M or N. And that combo must not be followed by a vowel.,pronunciation
Why is there no such thing as a nasal E?,en + em can make a nasal sound (as long as they are not followed by a vowel). But they are either pronounced as a nasal A [ɑ̃] or a nasal I [ɛ̃].,pronunciation
List the nasal vowels in order from most open (tongue on bottom of mouth) to most closed (tongue touching roof of mouth)., Nasal A [ɑ̃] is very open. Nasal O [ɔ̃] is open. Nasal U [œ̃] is closed. Nasal I [ɛ̃] is closed.; NB: The most closed nasal vowel is still more open than many of the closed oral vowels.; Open/Closed sounds are also called Low/High sounds because the tongue is either low in the mouth (open sounds) or touching the roof (closed sounds).,pronunciation
List the oral vowels in order from most open (tongue on bottom of mouth) to most closed (tongue touching roof of mouth).,Very open... [ɑ] [a] [ɔ] [ə] [œ] [ɛ] [o] [ø] [e] [u] [y] [i] ... Very closed.; NB: The most closed nasal vowel is still more open than many of the closed oral vowels.; Open/Closed sounds are also called Low/High sounds because the tongue is either low in the mouth (open sounds) or touching the roof (closed sounds).,pronunciation
What are the two oral (non-nasal) A sounds?,1) [a]: It sounds like the vowel in 'hot'. Examples: acheter + à. 2) [ɑ]: It sounds like a mix between 'hot' and 'hat'. Examples: base + pas.,pronunciation
Pronounce these words which require an oral (non-nasal) A: ma + sa + caméra + quatre + là,Oral As are pronounced very strongly and sharply. ma ('mah') + sa ('sah') + caméra ('kah-may-ra') + quatre ('kahtr') + là ('lah'); It is important to prounounce an A strongly because this is one of the ways to indicate gender (e.g. MA maison).; There are two oral A sounds: [a] and [ɑ]. They are both extremely open - more open than any other oral vowels.,pronunciation
Pronounce these words which require a nasal A [ɑ̃]: grande + chambre + manger + santé,Nasal A sounds slightly more like an O. Close the mouth slightly and send the sound up through the nose. grAnd ('grahn') + chAmbre ('shahmbr') + mAnger ('mahn-zshay') + sAnté ('sahn-tay'); These As are nasal because they are followed by M or N. And the vowel + N/M combo is not followed directly by a vowel.,pronunciation
How are the following pronounced differently? à + â + a?,There is no difference. They are all pronounced the same depending on the letters surrounding them.,pronunciation
How are these pronounced differently? 'an' + 'am' + 'en' + 'em',Generally there is very little difference among these sounds. The vowels behave similarly depending on the surrounding letters. If these vowel sounds remain nasal then they are pronounced like a nasal A [ɑ̃] because there is no such thing as a nasal E pronunciation. And the consonants (N or M) are not pronounced strongly.,pronunciation
How do you pronounce accent grave vs la grève (the strike)?,grave ('grahv') + grève ('grehv'),pronunciation
How is a nasal A [ɑ̃] (e.g. an) pronounced differently than a nasal O [ɔ̃] (e.g. on)?,Nasal A [ɑ̃] is very open. The mouth is like in a big smile and the tongue rests at the bottom of the mouth. The sound is nasal but towards the back of the nose/mouth.; Nasal O [ɔ̃] is slightly less open. The mouth forms an o-shape - remember that closing the mouth slightly makes a sound more nasal. This sound is nasal but towards the front of the nose/mouth. The sound is short and a bit downward like a pout.,pronunciation
Pronounce these words with an open AN / EN sound: banc + sans + lent + Septembre + grand + jambre + champ + langue + dans + en + éléphant,EN and AN sound like 'ohn' but with the corners of the mouth pulled back. Think 'aunt' in British English.; banc ('bohnk') + sans ('sohn') + lent ('lohn') + Septembre ('sehp-tohmbr') + grand ('grohn') + jambre ('zshohmbr') + champ ('shohm') + langue ('lohng') + dans ('dohn') + en ('ohn') + éléphant (ay-lay-fohn'),pronunciation
Pronounce these words with a closed AN / ENT which sounds more like like 'ohn': an (year) + camp + tante + vent (wind),an ('ohn') + camp ('kohm') + tante ('tohnt') + vent ('vohn'),pronunciation
How do you pronounce the written 'ai'?,like 'ay'; e.g. j'ai is pronounced 'zshay'; Generally it is best practice to keep vowel sounds short - do not drag them out.,pronunciation
How do you pronounce the written 'au'?,like a closed 'o' (called a hard O in English); e.g. au revoir ('oh-rev-ror') + aujourd'hui ('ohn-jer-dwee'); NB: AU makes the same sound as EAU and as Ô.,pronunciation
Pronounce the following: sauce + pause + épaule,AU makes the same sound as EAU and as Ô... a hard/closed/downward O: sauce ('soes') + pause ('pose') + épaule ('ay-pole'); NB: AU is pronounced as one syllable but UA is pronounced as two syllables - two separate vowels.,pronunciation
What is this called: ç? What does it do?,C cédille; Ç is used to change the sound of a C from a hard K sound to a soft S sound. This is only necessary when the C is followed by A or O or U.; We do NOT need to make C cédille for ce or ci because those already sound like S. That is why the word c'est does not use C cédille.,pronunciation
How do you pronounce 'ce' and 'ci'?,The C here is soft like S so 'suh' and 'see'; to make it sound harder like K you write 'cue' + 'cui',pronunciation
How do you pronounce 'ca' and co' and 'cu'?,The C in this cases is pronounced like a hard K.; To make the C sound like an S... use C cédille ...'ça' + 'ço' + 'çu',pronunciation
How do you pronounce 'ça' and 'ço' and 'çu'?,The C cédille changes the C from a K-sound to an S-sound: 'sa' and 'so' and 'su'.,pronunciation
Pronounce these words with 'ch': réchauffement + chou + chauflouer,CH sounds like a soft 'sh' in English. réchauffement ('ray-showf-mohn') + chou ('show') + chauflouer ('show-floo-ay'); NB: The only words in french where CH makes the hard sound like 'chorizo' are words that are foreign to french. e.g. cheque from Czech.,pronunciation
Pronounce these words that end in -CIAL: artificial + provincial,artificial ('ahr-tee-fee-see-ehl') + provincial ('pro-vee-nsee-ehl'); When a french word ends in -CIAL pronounce it the same as the word for sky: ciel.,vocabulary
When is a 'd' pronounced like T?,When a liaison is required and the end of the first word is D. When you apply the liaison the ending D is pronounced as a T sound (e.g. un grand‿architecte is pronounced 'uhn-gran-Tar-shee-tehkt'),pronunciation
Generally how do you pronounce a regular E in French?,The phonetic symbol is [ə]. It's like the oo in 'good' (English). The lips are in an O-shape. Say 'uh'. The sound is high in the mouth.; The pronunciation may change depending on the letters surrounding the E.,pronunciation
Pronounce these words with a regular oral E sound [ə] ('uh' with very rounded lips): le + ce + que + petit + devez + sera + me + je + de + cheveaux + chemise + regard + depuis,The French E is like the oo in 'good' (English). The lips are in an O-shape. Say 'uh'. The sound is high in the mouth. le ('luh') + de ('duh') + me ('muh') + je ('zshuh') + ce ('suh') + que ('kuh') + petit ('puh-tee') + devez ('duh-vay') + sera ('suh-ra') + cheveaux ('zshuh-voh') + chemise ('zshuh-mees') + regard ('ruh-gar') + depuis ('duh-pwee'); NB: Avoid making any kind of R or gutteral sound unless there is actually an R in the word.,pronunciation
When do we drop (eat) an E in conversation?,1) Drop the E when the pattern is vowel + consonnant + E. (e.g. une ami de papa. Drop the E in DE because the pattern is I + D + E); 2) You can also drop the E when it is only preceded by a consonnant but that is the beginning of the sentence. e.g. Je préfère... Drop the E in JE.,pronunciation
When do we not drop (eat) an E in conversation?,1) Do not drop an É [e] which sounds like a short 'ay'. This sound is much different than a regular E [ə] and the pronunciation is much stronger (but it is short - not drawn out). 2) If the regular E is between two consonnants that are difficult to pronounce together then we cannot drop it. (e.g. De théâtre would be too difficult to pronounce if we drop the E in DE because it would push a D and T together - very difficult to pronounce.); 3) We cannot drop a regular E when there are multiple consonnants before the E (e.g. Prof de qoui would be too difficult to pronounce if we drop the E in DE because it would push P D and Q together.),pronunciation
How are these pronounced differently: de + cent?,1) DE is a regular oral (non-nasal) E sound [ə] because the E is not followed by M or N. Pronounce it like 'duh' with lips in O-shape.; 2) CENT has a nasal I sound [ɛ̃] because the E is followed by an N AND the pair are not followed by a vowel. So cent is pronounced like 'sOhn' (very nasal). The lips are still in an O-shape but the sound is sent through the nose.,pronunciation
How are these pronounced differently: le + tennis?,1) LE is a regular oral (non-nasal) E sound [ə] because E is not followed by M or N. Pronounce it like 'luh' with lips in O-shape.; 2) TENNIS is also a regular oral E sound [ə] but the pronunciation is slightly different: 'teh-nees' not 'tuh-nees' and the eh sound is elongated. Why? There is an -EN but it is not nasal because the double NN counts as a single consonant and then a vowel follows directly. However the double N in TENNIS changes the sound of the E. A non-nasal ENN or EMM sounds like an airy 'ehn' or 'ehm' respectively.,pronunciation
How do you pronounce: intermittent? Focus on the E sound in the middle of the word.,'uhn-tEHr-mee-tohn' The second syllable is not the regular oral E sound [ə] ('uh'). It is almost like the english word air but more aspirated.,pronunciation
How do you pronounce the first syllables of these verbs: rencontrer + rejeter + reapprocher + reessayer,rencontrer ('rUH-nkohn-tray') + rejeter ('rUH-zshuh-tay') + reapprocher ('rAY-ah-proh-shay') + reessayer ('rAY-uh-say-yay'); In the first two examples (rencontrer + rejeter) the first E is pronounced like a normal french E ('uh') [ə]. In the remaining examples (reapprocher + reessayer) the RE prefix is directly in front of a vowel. So we change the pronunciation of the first syllable to sounds like É [e]... even though there is no accent added.,pronunciation
What is the name of this character and how is it pronounced? é,E accent aigu sounds like a short 'ay' (do not draw it out). This is different from a regular E which sounds like 'uh'. The phonetic symbol for É is [e] = short 'ay'. There are other vowel combinations that can result in this sound.; Most of the time accent marks do not impact pronunciation significantly. É is the major exception.,pronunciation
When is É required?,É stops the pronunciation of a consonnant at the end of the syllable. Examples: étonnant ('ay-To-na' instead of 'ayt-o-na'; The consonant following è is forced to the following syllable) + préféré ('pray-Fay-ray' instead of 'pref-ay-ray') + première ('pruh-mehr'; If we used É instead of È then there would be one more syllable because é forces the separation),pronunciation
Pronounce these words with the closed [e] sound (sounds like 'ay'): pied + ses + et + chez + dizaines,pied ('pee-ay') + ses ('say') + et ('ay') + chez ('shay') + dizaines ('dee-zayn'); Closed [e] is the sound made by É (short 'ay') and many other spellings: ai + é + es + ei + er + ez,pronunciation
How are these pronounced differently?: -ez / -er / -é / -et / -ai,They are pronounced exactly the same like 'ay'. The phonetic symbol is [e]. These spellings are used often in verbs.,pronunciation
What is the name of this character and how is it pronounced? è,E accent grave (phonetic symbol [ɛ]) is pronounced like a light 'eh' at the top of the mouth. It has less 'uh' compared to a regular E. e.g. lève ('lehv'); It is pronounced exactly the same as Ê.,pronunciation
When is È required?,1) When an E precedes a terminal S: après + très + près.; 2) When the pattern is E + CONSONNANT (or 2) + SILENT E: mètre + grève + père + première. NB: Elever (infinitive) does not need an accent because the second e is pronounced as part of the last syllable. But j'élève (conjugated) requires è because the second is is now silent.; 3) To distinguish between some words. e.g. la vs là and a vs à,pronunciation
Pronounce these words with the open [ɛ] sound (written as È or Ê): êtes + près, êtes ('eht') + près ('preh'); Accent grave or circonflexe on an E change the sound of the E from the 'oo' in good to a lighter 'eh' sound.,pronunciation
What is the name of this character and how is it pronounced? ê,E accent circonflexe can be present on any vowel (not just E). But when it is placed on an E... it is pronounced exactly the same as È (a light 'eh' sound with open mouth). e.g. lève ('lev'). The phonetic symbol is [ɛ].; Accent circonflexe can impact pronunciation on other vowels. e.g. sur vs sûr.,pronunciation
What is the purpose of accent circonflexe (e.g. ê)?,When placed on an Ê... the accent does not change pronunciation. It simply indicates that the word used to have a consonant (often S) that has since been dropped. e.g. hôpital used to (before the time when English adopted french words) be spelled as we do still in English (hospital). The accent circonflexe marks that the S has been removed in the french version.; On other vowels the accent circonflexe can impact pronunciation. e.g. sur vs sûr,pronunciation
What is this character? How is it pronounced? Œ,Œ is a ligature of the vowels O and E. It signifies that the vowels should be pronounced as a single sound. That sound is like a mix of the classic french E (light 'uh' high in the mouth) and 'oo' (like book in English). The mouth is open and flattened.; The phonetic symbol for this ligature is [œ] but this can represent multiple spellings because ŒU sounds exactly like EU: un cœur and une heure sound the same and use the same phonetic symbol [œ].,pronunciation
How are these words pronounced differently? un cœur + un corps + un cours,un cœur ('keuhr'): ŒU sounds exactly like EU so this word rhymes with une heure. The sound [œ]has a lot of E in it and it is high in the mouth with flattened lips.; un corps ('kohr'): The O here sounds like a strong regular O ('oh').; un cours ('kewwhr'): This sounds more like a mix of 'ooo' and 'ewwww' sound. The sound vibrates lower in the mouth.,pronunciation
How are these words pronounced differently? un œil (an eye) + des yeux (eyes),UN ŒIL ('uh-neuhy' [œ]): The sound [œ] combines with the I to make a sound like OY! The mouth is open and flattened and the sound is high in the mouth.; DES‿YEUX ('day-zyoo' [ø]). The sound [ø] is still in the top of the mouth but the mixed 'uh'/'oo' sound is more closed and more forced (than in œil).; There is a liaison but we still hear the Y sound.,pronunciation
Pronounce these words where EU is pronounced in an open way [œ]: ingénieur + beurre + peur + seul + fleur + cœur + œil + œuf + cooleur + heures + leur,[œ] (EU as an open sound) is pronounced like a mix of the classic french E (light 'uh' high in the mouth) and 'oo' (like book in English). The mouth is open and flattened.: ingénieur ('uhn-juh-neuhr') + beurre ('beuhr') + peur ('peuhr') + seul ('seuhl') + fleur ('fleuhr') + cœur ('ceuhr') + oeil ('euY') + œuf ('euf'; nasal open sound [œ] ending with F) + cooleur ('coo-leuhr') + heures ('heuhr') + leur ('leuhr'),pronunciation
Pronounce these words where EU is pronounced in a closed way [ø]: peu + ceux + feu + veux + monsieur + bleu + euro + cheveu + yeux + œufs,[ø] (EU as a closed sound) is pronounced like [œ] but more forced and with a really tightly closed and rounded O-shape with the mouth. So it is still a mix of 'uh' and 'oo'. The sound is still high in the mouth (not a deep U sound).: peu ('poo') + ceux ('coo') + feu ('foo') + veux ('voo') + monsieur ('mohn-soo') + bleu ('bloo') + euro ('oo-roh') + cheveu ('shuh-voo') + yeux ('yoo') + œufs ('oo'; closed sound [ø] without F),pronunciation
Pronounce these words where EU is pronounced in a closed way [ø]: adieu + lieu,adieu ('ah-dYoo') + lieu ('lYoo'); This is the same closed [ø] sound as peu + veux + euro. But the I in front of EU forces us to add a Y sound before the mixed 'uh'/'oo' sound.,pronunciation
Pronounce these words where EAU is pronounced in a closed way [o] (sounds like a hard O in English): chapeau + l'eau + bureau + bateau + cerveau + château,EAU makes the closed 'oh' sound [o] with a sharp downward tone: chapeau ('shah-poh') + l'eau ('loh') + bureau ('bu-roh') + bateau ('bah-toh') + cerveau ('cuh-rvoh') + château ('shah-toh'); The following spellings all make this same sound: O + Ô + AU + EAU and AU.,pronunciation
How do you pronounce words that end in -ER differently from words that end in -IER? e.g. cuisiner vs cuisinier,-ER is pronounced 'ay'. -IER is pronounced 'yay' with two Y sounds. cuisiner ('qwee-suh-nay') = to cook. cuisinier ('qwee-suh-nYay') = a professional cook.,pronunciation
How do you pronounce adjectives that end in -IF in the masculine form? e.g. attentif / attentive,The F sound at the end of a masculing adjective is pronounced and very strong. It must be pronounced to differentiate it well from the feminine versions which end in -IVE and which have a very strong V sound.,pronunciation
How do you pronounce the name Agnes?,Agnes ('ahn-yes'). The G is silent. There is Y sound. The S at the end is pronounced like snake.,pronunciation
When is G pronounced softly 'zsh' vs hard 'ghu'?,'ge' and 'gi' are soft; 'ga' and 'go' and 'gu' have the hard g sound. But this will change some if accents are added on the vowels.,pronunciation
When is J pronounced softly 'zsh' vs hard 'ghu'?,J is always pronounced as a soft sound.,pronunciation
Pronounce these words with the soft 'zsh' sound: rejeter + danger + écologie,rejeter ('ruh-zshuh-tay') + danger ('dahn-zshay') + écologie ('ay-kohl-oh-zshee'),pronunciation
How are these words pronounced differently: gare (train station) + guerre (war),gare ('gahr' rhymes with car) + guerre ('gehr' rhymes with air),pronunciation
How do you prounounce 'h' at the beginning of a word?,Most of the time an H at the beginning of a word is 'H muet' (silent H e.g. habitude). In these cases the H is completely silent and you ignore it. This means that if the second word in the letter is a vowel - then you may need to use a liaison to connect.; If - instead - the H is aspirated (e.g. le haricot vert) then you must pronounce the H and block a liaison.,pronunciation
What are the two oral (non-nasal) I sounds?,1) [i]: It sounds like 'ee'. Examples: six + ici. 2) [j]: It sounds like 'eey'. Examples: bien + any word that ends in -ion + any word with double I (ii).,pronunciation
Pronounce these words which require an oral (non-nasal) I [i] that sounds like 'ee': il + rire + imagine,Oral I [i] sounds like 'ee': il ('eel') + rire ('reer') + imagine ('ee-ma-zsheen'); The first syllable of imagine ('im') would have been nasal. But it is followed by a vowel ('a') which prevents a nasal sound. So both of the I's in imagine are oral so they sound like 'ee'.,pronunciation
